;WMC;Bugged;WMC_CK_mean;WMC_CK_25%;WMC_CK_max;WMC_CK_min;WMC_CK_std;NOCh;NMI;DIT;WMC_CK_50%;NMIR;WMC_CK_75%;NPM;NORM;WMC_CK_count
count;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;2;;;;;;;;;;;;;;
top;;False;;;;;;;;;;;;;;
freq;;825;;;;;;;;;;;;;;
mean;12.139072847682119;;1.9377799040549673;1.299944812362031;4.052980132450331;1.141280353200883;1.175692499670949;0.0;0.0;0.7362030905077263;1.5838852097130243;0.0;2.1746688741721854;2.1556291390728477;0.0;3.827814569536424
std;28.188796740564772;;2.2986732005167956;1.5358254020100222;8.114338782145348;1.4188611551765118;2.768215437233323;0.0;0.0;0.4409338891719171;1.9422959370936808;0.0;2.8364091279403367;3.3985788858765167;0.0;5.00664079140858
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
50%;4.0;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0
75%;12.0;;2.1125;1.0;4.0;1.0;1.1547005383792517;0.0;0.0;1.0;1.5;0.0;2.5;3.0;0.0;5.0
max;481.0;;23.5;17.0;107.0;17.0;31.819805153394643;0.0;0.0;1.0;23.5;0.0;34.75;57.0;0.0;62.0
