;NSF;Bugged;NSM;NOA;NOD;ClTCi;RTLOC;ClRCi;PMd;NPF;NOL;TLOC
count;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;2;;;;;;;;;;
top;;False;;;;;;;;;;
freq;;825;;;;;;;;;;
mean;0.7991169977924945;;0.6236203090507726;0.0;0.0;19.53751464072075;115.20309050772627;1.8705255008013244;2.8885209713024285;0.23620309050772628;0.0;64.00220750551877
std;2.5148046272758875;;1.919557535741909;0.0;0.0;146.37428366641083;229.61795469324701;4.077113611227458;4.07928883116506;1.2346080142150055;0.0;114.21474392532764
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;0.0;0.0;0.0;4.0;32.5;1.5;2.0;0.0;0.0;20.0
75%;0.0;;0.0;0.0;0.0;11.0;114.75;2.25;4.0;0.0;0.0;69.0
max;34.0;;24.0;0.0;0.0;4170.381070305;3134.0;94.78138796100001;59.0;14.0;0.0;704.0
