NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfPrivateAttributes;Bugged;NumberOfAttributes;NumberOfPolymorphicMethods;NumberOfAncestors;NumberOfCoupledClasses;Cohesion;NumberPublicMethods;NumberOfInheritedMethods;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfPublicAttributes
0.0;0.0;0.0;False;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3.0
0.0;0.0;3.0;False;3.0;1.0;0.0;0.0;0.5;1.0;0.0;2.0;0.0;0.0
0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.4;3.0;0.0;3.0;0.0;0.0
0.0;0.0;2.0;False;2.0;0.0;0.0;0.0;0.3333333333333333;2.0;0.0;3.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.3333333333333333;3.0;0.0;3.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;False;1.0;3.0;0.0;0.0;0.3;3.0;0.0;5.0;0.0;0.0
0.0;0.0;1.0;False;1.0;2.0;0.0;0.0;0.3125;2.0;0.0;4.0;0.0;0.0
0.0;0.0;7.0;False;7.0;8.0;0.0;0.0;0.13333333333333333;7.0;0.0;9.0;0.0;0.0
0.0;0.0;7.0;False;7.0;8.0;0.0;0.0;0.13333333333333333;7.0;0.0;9.0;0.0;0.0
0.0;0.0;2.0;False;2.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.5;2.0;0.0;2.0;0.0;0.0
0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.3333333333333333;3.0;0.0;3.0;0.0;0.0
0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.3333333333333333;2.0;0.0;3.0;0.0;0.0
0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.26666666666666666;3.0;0.0;5.0;0.0;0.0
0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.3333333333333333;1.0;0.0;3.0;0.0;0.0
0.0;0.0;3.0;False;3.0;8.0;0.0;0.0;0.1;9.0;0.0;10.0;0.0;0.0
0.0;0.0;2.0;False;2.0;4.0;0.0;0.0;0.25;4.0;0.0;4.0;0.0;0.0
0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;5.0;False;5.0;2.0;0.0;0.0;0.5;2.0;0.0;2.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.0;False;2.0;2.0;0.0;0.0;0.5;1.0;0.0;2.0;0.0;0.0
0.0;0.0;1.0;False;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.25;4.0;0.0;4.0;0.0;0.0
0.0;0.0;3.0;True;5.0;6.0;0.0;0.0;0.19642857142857145;7.0;0.0;7.0;1.0;1.0
0.0;0.0;2.0;False;2.0;5.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;0.0
0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.8333333333333334;2.0;0.0;2.0;0.0;0.0
