;NCSSForThisFile;ClassDataAbstractionCoupling;NumberOfProtectedMethod;ClassFanOutComplexity;BuggedMethods;MethodLength;NumberOfPublicMethods_Checkstyle;ExecutableStatementCount;NumberOfMethods_Checkstyle;NestedIfElseDepth;NumberOfPackageMethod;NestedForDepth;CyclomaticComplexity;NestedTryDepth;FileLength;ThrowsCount;NumberOfPrivateMethod;BooleanExpressionComplexity;AnonymousInnerClassLength;NCSSForThisClass;NCSSForThisMethod;NPathComplexity
count;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0
unique;;;;;2;;;;;;;;;;;;;;;;;
top;;;;;False;;;;;;;;;;;;;;;;;
freq;;;;;4108;;;;;;;;;;;;;;;;;
mean;7.419644970414201;0.2752662721893491;0.036686390532544376;0.6416568047337278;;8.12923076923077;0.3744378698224852;3.464852071005917;0.5176331360946745;0.03857988165680473;0.009940828402366864;0.011597633136094675;1.4610650887573964;0.001893491124260355;16.779171597633137;0.1375147928994083;0.10153846153846154;0.05254437869822485;0.07242603550295858;6.426508875739645;4.9110059171597635;78.68828402366864
std;46.027754744141085;1.3315149762472045;0.496033893452322;2.413830709420641;;25.343359135535437;1.688421415806319;10.807227766688174;2.3565338895052172;0.24362685277387822;0.1372608847238202;0.11761490591281988;4.389797626592664;0.043478192654560543;93.39694248377391;0.35658839102923573;1.1295614595537027;0.29609802549643394;1.2819623512279648;44.6288339511623;15.137270709803284;831.0985890341868
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
75%;0.0;0.0;0.0;0.0;;6.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0
max;1679.0;48.0;26.0;51.0;;719.0;57.0;308.0;62.0;5.0;3.0;2.0;107.0;1.0;3176.0;2.0;41.0;5.0;37.0;1678.0;417.0;10000.0
