;NCSSForThisMethod_min;ThrowsCount_std;NumberOfMethods_Checkstyle_std;NCSSForThisFile_std;NumberOfPackageMethod_min;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_75%;NumberOfProtectedMethod_75%;NumberOfPrivateMethod_75%;AnonymousInnerClassLength_50%;ExecutableStatementCount_std;ClassFanOutComplexity_mean;ThrowsCount_25%;NumberOfMethods_Checkstyle_50%;ThrowsCount_mean;NCSSForThisFile_count;NestedIfElseDepth_50%;NestedTryDepth_mean;NCSSForThisMethod_25%;NumberOfPrivateMethod_min;MethodLength_25%;NumberOfPackageMethod_25%;NestedForDepth_max;MethodLength_50%;NumberOfMethods_Checkstyle_mean;CyclomaticComplexity_min;MethodLength_count;NumberOfProtectedMethod_count;NestedIfElseDepth_count;ExecutableStatementCount_max;NCSSForThisMethod_max;MethodLength_mean;NumberOfMethods_Checkstyle_count;FileLength_min;NCSSForThisMethod_75%;NestedForDepth_50%;NumberOfPrivateMethod_max;ThrowsCount_min;BooleanExpressionComplexity_max;BooleanExpressionComplexity_mean;NumberOfPrivateMethod_50%;BooleanExpressionComplexity_count;CyclomaticComplexity_75%;ExecutableStatementCount_75%;NumberOfProtectedMethod_min;FileLength_mean;ExecutableStatementCount_50%;NestedIfElseDepth_std;NPathComplexity_75%;NestedIfElseDepth_25%;ClassDataAbstractionCoupling_std;NestedTryDepth_50%;NumberOfPublicMethods_Checkstyle_75%;NumberOfPackageMethod_count;NumberOfMethods_Checkstyle_25%;NestedTryDepth_75%;NumberOfPrivateMethod_mean;NestedForDepth_std;NCSSForThisClass_25%;ClassDataAbstractionCoupling_50%;NPathComplexity_50%;ThrowsCount_50%;NCSSForThisClass_75%;NCSSForThisClass_50%;NestedIfElseDepth_min;ClassDataAbstractionCoupling_mean;NumberOfPackageMethod_75%;NumberOfProtectedMethod_25%;NumberOfProtectedMethod_50%;NCSSForThisClass_mean;NPathComplexity_std;CyclomaticComplexity_count;NCSSForThisFile_50%;ClassFanOutComplexity_min;MethodLength_min;BooleanExpressionComplexity_50%;ClassDataAbstractionCoupling_75%;NumberOfPackageMethod_mean;ClassFanOutComplexity_25%;NumberOfPackageMethod_50%;NCSSForThisClass_min;ThrowsCount_max;NestedTryDepth_count;NCSSForThisMethod_count;ClassDataAbstractionCoupling_max;AnonymousInnerClassLength_mean;NCSSForThisMethod_std;NestedIfElseDepth_max;NCSSForThisFile_75%;ClassDataAbstractionCoupling_min;NestedForDepth_min;NumberOfPublicMethods_Checkstyle_count;NCSSForThisFile_25%;BooleanExpressionComplexity_75%;NPathComplexity_25%;NumberOfPackageMethod_max;NCSSForThisFile_mean;AnonymousInnerClassLength_max;AnonymousInnerClassLength_std;NumberOfPublicMethods_Checkstyle_std;CyclomaticComplexity_50%;BooleanExpressionComplexity_std;NumberOfProtectedMethod_std;NumberOfPublicMethods_Checkstyle_min;FileLength_25%;NumberOfPackageMethod_std;AnonymousInnerClassLength_count;NestedForDepth_count;NCSSForThisMethod_mean;CyclomaticComplexity_std;NestedForDepth_25%;ThrowsCount_75%;NCSSForThisClass_max;FileLength_std;ThrowsCount_count;ClassFanOutComplexity_50%;NumberOfProtectedMethod_max;BooleanExpressionComplexity_25%;NumberOfPublicMethods_Checkstyle_mean;NPathComplexity_count;ClassDataAbstractionCoupling_25%;NPathComplexity_max;FileLength_max;NestedIfElseDepth_75%;NumberOfMethods_Checkstyle_75%;Bugged;ExecutableStatementCount_mean;CyclomaticComplexity_max;ClassFanOutComplexity_max;FileLength_75%;ExecutableStatementCount_min;CyclomaticComplexity_mean;NestedTryDepth_max;NCSSForThisFile_max;NestedTryDepth_min;NCSSForThisClass_std;NumberOfPrivateMethod_count;AnonymousInnerClassLength_25%;AnonymousInnerClassLength_min;NPathComplexity_min;AnonymousInnerClassLength_75%;NumberOfPublicMethods_Checkstyle_50%;ClassFanOutComplexity_std;NumberOfPrivateMethod_std;MethodLength_std;ExecutableStatementCount_25%;NPathComplexity_mean;ClassDataAbstractionCoupling_count;NumberOfPrivateMethod_25%;NumberOfMethods_Checkstyle_max;FileLength_50%;BooleanExpressionComplexity_min;FileLength_count;NumberOfMethods_Checkstyle_min;MethodLength_max;ExecutableStatementCount_count;NCSSForThisClass_count;NestedForDepth_mean;NestedTryDepth_std;NestedTryDepth_25%;NestedIfElseDepth_mean;CyclomaticComplexity_25%;ClassFanOutComplexity_count;NumberOfPublicMethods_Checkstyle_max;MethodLength_75%;NumberOfProtectedMethod_mean;ClassFanOutComplexity_75%;NCSSForThisMethod_50%;NCSSForThisFile_min
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;2.1955247735748533;0.06051916834097624;0.7723627421244736;7.632760285144375;0.005327650506126798;0.2690463505594033;0.0031965903036760787;0.002663825253063399;0.03356419818859883;0.06393180607352157;0.9454413814831739;1.5325650631006937;0.0731220031965903;0.34949387320191794;0.10278239685856834;2.5119872136387853;0.019978689397975494;0.006519446158324109;2.4989344698987748;0.018114011720831113;3.785961640916356;0.006259989344698988;0.012253596164091636;4.4493873201917955;0.6101314402575189;0.8540223761321257;2.5119872136387853;2.5119872136387853;2.5119872136387853;3.655833777304209;5.083111347895578;4.94922211364521;2.5119872136387853;8.769845498135322;3.5663292488012788;0.0015982951518380393;0.26318593500266385;0.049547149706979224;0.06499733617474694;0.01640610560341875;0.021576984549813532;2.5119872136387853;1.1600958977091103;2.4688332445391583;0.0010655301012253596;18.052567013787723;1.9405966968566861;0.023110948493457305;10.131726158763986;0.017847629195524774;0.3017840938625714;0.003995737879595098;0.498401704848162;2.5119872136387853;0.29808204581779435;0.006925945657964837;0.051265551696038796;0.004837093064627988;2.267314864144912;0.16515716568993075;1.5119872136387853;0.09722962173681407;4.000932338838572;2.663558870538093;0.015982951518380393;0.2599638149351722;0.016382525306339903;0.0010655301012253596;0.0010655301012253596;4.471372402696612;13.720209035181016;2.5119872136387853;3.6228023441662227;0.83697389451252;3.3052743740010655;0.008257858284496537;0.2545285029302078;0.019428910812219598;0.9786893979754928;0.007192328183271177;1.9131592967501332;0.17900905700586042;2.5119872136387853;2.5119872136387853;0.7874267448055408;0.1691233798339399;1.1858054095650032;0.07352157698454981;5.448188598827917;0.10602024507192329;0.0;2.5119872136387853;3.14411294619073;0.013585508790623336;1.1232019179541821;0.08364411294619073;6.145727354439575;0.6968566862013852;0.2694854283193593;0.6562843876696576;0.9885455514118274;0.02097559455934769;0.007237922266506704;0.2221630261054875;10.209909429941396;0.03136453748924804;2.5119872136387853;2.5119872136387853;3.17542281325635;0.31227348592451437;0.0002663825253063399;0.12333510921683538;16.360681939264783;19.546277980507245;2.5119872136387853;1.1289291422482686;0.02077783697389451;0.007858284496537027;0.535852303233579;2.5119872136387853;0.13505594033031434;36.719232818327114;55.75173148641449;0.03023441662226958;0.5511454448588172;;2.1567435417446386;1.5919019712306872;3.7032498668087372;16.830181140117208;1.3708044752264252;1.0768493204443386;0.018114011720831113;21.899840170484815;0.0031965903036760787;5.48321079590221;2.5119872136387853;0.03396377197655834;0.02557272242940863;0.7810335641981886;0.19712306872669152;0.3185935002663825;1.2839108020087748;0.0848412934367653;2.028203719760102;1.6258657432072456;7.917352110871589;2.5119872136387853;0.019845498135322322;2.25253063399041;11.649973361747469;0.006925945657964837;2.5119872136387853;0.24933404368673415;8.14917421417155;2.5119872136387853;2.5119872136387853;0.0027833898128772;0.006273436725394189;0.0033297815663292487;0.028442753094255258;0.9066329248801278;2.5119872136387853;1.8977091102823656;5.616009589770911;0.003921750865011387;1.5687266915290357;2.892647842301545;2.665423548215237
std;3.8344779175057244;0.21665619933039176;1.1655610492964368;13.605252669418872;0.13842458765883123;0.5625845555815043;0.053431404214982346;0.048904201607086785;0.41236903039026807;1.0910881931542014;2.214588683896858;2.510075907978232;0.3307906347865816;0.8950027156215253;0.3660436611976789;4.3454863654718405;0.14602187372211622;0.06568172315776992;4.01443277510428;0.3994826902760863;6.445263115295873;0.13994162871855087;0.12372627658765165;7.181462001531027;0.9047260729084151;1.1158869542184775;4.3454863654718405;4.3454863654718405;4.3454863654718405;6.574960117277051;8.416371326517462;7.457702130570531;4.3454863654718405;25.931254175218438;5.324378799393087;0.036470079410221914;1.1781563214426014;0.28124771032211865;0.3808238775153995;0.13637036580949408;0.4018057137766022;4.3454863654718405;1.5450141943473403;4.146788694131513;0.03263375739058046;26.689659384980356;3.4707217786917224;0.11103139582310699;219.44964718805852;0.14190507131681984;0.8540530539570897;0.059850702515782964;0.7087050885333641;4.3454863654718405;0.8726088544594882;0.07755925826670795;0.4188659529929296;0.04891410969284556;8.185615284365834;0.69868948244295;13.982121547456718;0.3870268237186349;9.309025095255548;8.435863872063589;0.1336715245228249;0.7618045508745389;0.1809618599257236;0.03263375739058046;0.03263375739058046;8.909019383996334;227.42902500178863;4.3454863654718405;11.104620814927483;2.3815336581461897;6.12424999906204;0.127761611693378;0.8543946059699837;0.17278790888838516;2.394358883871755;0.14446597412880283;8.15040010285086;0.5521101972981216;4.3454863654718405;4.3454863654718405;2.0375189864221155;1.3563736246045464;2.7482160084964566;0.30963044756575847;12.245474205114375;0.6305571584561732;0.0;4.3454863654718405;10.726057843866291;0.14096561891964382;8.435785980258734;0.6594676546750459;11.441109458534953;4.320237462776866;1.6519079615387513;1.0331977406906747;1.2601408967308887;0.11904242136313505;0.08460712972591634;0.5609721696430926;25.9369537673066;0.23134576213283098;4.3454863654718405;4.3454863654718405;4.603297124616898;0.8382102270272556;0.008158439347645116;0.43436344267044336;36.676820139821636;30.144922494473498;4.3454863654718405;2.5031748654505566;0.23339259314780528;0.12660818440383817;0.6123860497616385;4.3454863654718405;0.6459498712810696;535.4907494715109;90.38252723660842;0.1707903627393249;0.9782659578415357;;3.5653903856769054;2.5521633565443227;5.561715682268416;29.435813476089866;2.950364084832861;1.3571939770289099;0.14116504955599662;44.03634844061176;0.05646300210495951;10.854187008154522;4.3454863654718405;0.9528873498261407;0.9414559419771638;4.036679164277498;1.8730625334023903;0.5967132287962263;2.2712768159874415;0.33715129250950354;4.655985059160332;3.1125456914438776;137.7334403497163;4.3454863654718405;0.4000254890562615;4.239768851534188;26.910145561994522;0.12413874448334451;4.3454863654718405;0.8728649454424211;13.658534341276498;4.3454863654718405;4.3454863654718405;0.03441594685067778;0.056406566383068596;0.05674959429520894;0.1517319289309667;1.175713710584565;4.3454863654718405;3.6835339355511927;8.710566072704129;0.04817802227533903;2.7842540292431073;4.440444481837525;10.676875705647113
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;11.888888888888891;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.7142857142857144;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.625;1.0;0.0;0.0;37.0;0.0;0.0;;1.0;1.0;2.0;0.0;1.0;1.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;2.0;0.0
75%;2.0;0.0;1.5;12.124355652982139;0.0;0.5;0.0;0.0;0.0;0.0;0.7071067811865476;2.375;0.0;1.0;0.0;3.0;0.0;0.0;3.0;0.0;5.0;0.0;0.0;6.0;1.0;1.0;3.0;3.0;3.0;5.0;7.0;7.166666666666668;3.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.75;3.25;0.0;30.0;2.5;0.0;1.75;0.0;0.0;0.0;1.0;3.0;0.5;0.0;0.0;0.0;1.25;0.0;1.0;0.0;6.0;3.0;0.0;0.08571428571428573;0.0;0.0;0.0;6.777777777777778;0.3779644730092273;3.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;0.7071067811865476;0.0;8.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;9.4;0.0;0.0;1.4142135623730951;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;4.6;0.0;0.0;0.0;17.0;36.4159992311072;3.0;2.0;0.0;0.0;1.0;3.0;0.0;2.0;74.0;0.0;1.0;;3.0;2.0;5.0;34.5;1.0;1.5;0.0;25.0;0.0;8.049844718999243;3.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.4142135623730951;2.0;1.3333333333333333;3.0;0.0;3.0;0.0;0.0;3.0;0.0;11.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;8.0;0.0;2.75;4.0;0.0
