TLOC;PMd;NPF;ClRCi;ClTCi;Bugged;NSF;NSM;NOL;NOD;NOA;RTLOC
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
34.0;3.0;0.0;2.666666667;8.0;False;1.0;1.0;0.0;0.0;0.0;59.0
54.0;1.0;0.0;3.4;17.0;False;1.0;1.0;0.0;0.0;0.0;122.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
39.0;5.0;0.0;1.0;5.0;False;1.0;0.0;0.0;0.0;0.0;51.0
99.0;7.0;0.0;1.714285714;12.0;False;1.0;0.0;0.0;0.0;0.0;113.0
37.0;8.0;0.0;1.0;8.0;False;1.0;0.0;0.0;0.0;0.0;53.0
13.0;3.0;0.0;1.0;3.0;False;0.0;0.0;0.0;0.0;0.0;20.0
12.0;2.0;0.0;1.0;2.0;False;0.0;0.0;0.0;0.0;0.0;18.0
23.0;5.0;0.0;1.0;5.0;False;0.0;0.0;0.0;0.0;0.0;34.0
32.0;4.0;0.0;2.25;9.0;False;1.0;0.0;0.0;0.0;0.0;48.0
40.0;7.0;0.0;1.0;7.0;False;1.0;0.0;0.0;0.0;0.0;55.0
16.0;3.0;0.0;2.0;6.0;False;1.0;0.0;0.0;0.0;0.0;20.0
20.0;3.0;0.0;1.0;3.0;False;1.0;0.0;0.0;0.0;0.0;32.0
45.0;13.0;0.0;1.076923077;14.0;False;0.0;0.0;0.0;0.0;0.0;59.0
25.0;1.0;0.0;2.0;2.0;False;1.0;0.0;0.0;0.0;0.0;31.0
23.0;6.0;0.0;0.833333333;5.0;False;0.0;0.0;0.0;0.0;0.0;30.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
123.0;1.0;0.0;1.818181818;20.0;False;4.0;1.0;0.0;0.0;0.0;202.0
7.0;1.0;0.0;1.0;1.0;False;1.0;0.0;0.0;0.0;0.0;9.0
43.0;20.0;21.0;2.45;49.0;False;21.0;20.0;0.0;0.0;0.0;144.0
18.0;4.0;0.0;1.0;4.0;False;1.0;0.0;0.0;0.0;0.0;24.0
21.0;5.0;0.0;1.0;5.0;False;0.0;0.0;0.0;0.0;0.0;30.0
10.0;2.0;0.0;1.0;2.0;False;0.0;0.0;0.0;0.0;0.0;14.0
23.0;2.0;0.0;2.0;4.0;False;0.0;2.0;0.0;0.0;0.0;24.0
156.0;7.0;0.0;2.462121212;27.083333333000002;False;1.0;3.0;0.0;0.0;0.0;273.0
156.0;7.0;0.0;2.462121212;27.083333333000002;False;1.0;3.0;0.0;0.0;0.0;273.0
156.0;7.0;0.0;2.462121212;27.083333333000002;False;1.0;3.0;0.0;0.0;0.0;273.0
156.0;7.0;0.0;2.462121212;27.083333333000002;False;1.0;3.0;0.0;0.0;0.0;273.0
156.0;7.0;0.0;2.462121212;27.083333333000002;False;1.0;3.0;0.0;0.0;0.0;273.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
429.0;0.0;0.0;3.1;15.5;False;2.0;0.0;0.0;0.0;0.0;668.0
87.0;1.0;0.0;1.6;8.0;False;2.0;4.0;0.0;0.0;0.0;190.0
30.0;1.0;0.0;1.0;2.0;False;1.0;1.0;0.0;0.0;0.0;62.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
88.0;5.0;0.0;1.0625;8.5;False;3.0;0.0;0.0;0.0;0.0;128.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;0.0;1.0;1.0;False;0.0;0.0;0.0;0.0;0.0;10.0
