;NumberOfMathOperations_std;NumberOfMathOperations_count;Mo;Mit;Average Complexity*;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_min;issues_priorityMajor_max;NumberOfModifiers_50%;blamemerge_priorityMajor_max;NumberOfMethods_Mood;issues_priorityMajor_std;Ao;NumberOfModifiers_75%;Maximum Block Depth;Ad;NumberOfModifiers_mean;blamemerge_priorityMajor_count;NumberOfModifiers_max;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_mean;Average Statements per Method;NumberOfMathOperations_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;blame_merge_priorityMinor_min;MaxNumberOfNestedBlocks_std;Maximum Depth_75%;issues_priorityMinor_max;Average Block Depth;Maximum Depth_std;MaxNumberOfNestedBlocks_max;Maximum Depth_count;blame_merge_priorityMajor_count;Maximum Depth_25%;blame_merge_priorityMinor_mean;Av;Maximum Complexity*;HMd;NumberOfModifiers_min;issues_priorityMinor_min;Maximum Depth_min;SIX;NMI;blame_merge_priorityMinor_max;PMd;blame_merge_priorityMajor_min;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_25%;Maximum Depth_max;issues_priorityMinor_std;blamemerge_priorityMinor_max;issues_priorityMinor_count;NF;MaxNumberOfNestedBlocks_50%;PMR;issues_priorityMajor_count;Ait;MaxNumberOfNestedBlocks_count;blamemerge_priorityMajor_min;Maximum Depth_mean;NumberOfModifiers_count;Maximum Depth_50%;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Ma;NMA;Mi;HMi;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;Bugged;NM;blame_merge_priorityMinor_std;Md;PMi;issues_priorityMajor_min;Ai;NumberOfModifiers_std;blamemerge_priorityMinor_std;NumberOfModifiers_25%;NOPa;NumberOfMathOperations_mean;NumberOfMathOperations_75%;issues_priorityMinor_mean;blamemerge_priorityMajor_std
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1842;;;;;;;;;;;;;;
mean;0.16868147532412775;2.45924347362813;0.0;0.0;1.2915290356952585;0.06599035570758388;0.1228023441662227;0.2693437364882774;0.1241342567927544;0.9669685668620138;4.35588705380927;0.2839637719765583;3.0825785828449654;0.012534114164091188;0.0;5.678476291955247;2.6281299946723493;1.9222163026105488;4.531211233390454;2073.816728822589;8.090570058604156;0.0;0.25737561289072847;3.120079914757592;0.0633990410229089;0.0;0.0;0.44539158231220033;0.0;0.0;0.1716371130117874;0.6732818327117741;0.10122535961640916;1.0744272775705912;0.051618663926246866;0.49973361747469364;0.8492274906766116;0.0;0.6323921150772509;0.0;0.10388918486947256;2.6366542354821525;0.8055407565263719;1.9648375066595631;0.02077783697389451;0.6148108684070325;0.0;0.0;0.0;1.6995205114544485;0.0;0.9633052398344571;0.15876398508257858;0.7096430474160895;0.012534114164091188;0.07831646244006393;2280.717634523175;1.9222163026105488;0.21976558337773042;0.2755162137037826;2280.717634523175;0.0;2.45924347362813;0.2567927543953117;0.654922244429958;2.45924347362813;0.6478423015450187;0.05061267980820458;2073.816728822589;2.5050612679808206;2.811933937133724;0.0;0.0;0.32205647309536495;0.08790623335109217;;2.811933937133724;0.0;2.5050612679808206;0.0;0.8865210442194992;0.0;2.9626697338432475;0.009871495931850376;3.0121204049014385;0.0;0.17670435584093241;0.21510388918486947;0.024441164001451285;0.009508138647376775
std;0.5711603689148189;4.318116008932041;0.0;0.0;1.1474710098180683;0.24053032586439807;0.5327464642145404;0.4395437316161385;0.4810240930842782;0.17876628132785383;44.971981134099806;0.45103961263098663;4.880239534107522;0.047551945784484184;0.0;55.05012476742887;2.112309684880694;4.674400841859172;38.754615827452014;8109.163629776878;71.30635504850783;0.0;0.5594885843993557;3.8032970692573755;0.363188552091172;0.0;0.0;1.378260359645309;0.0;0.0;0.3846426272907958;1.1204635101440075;0.3017072792320757;0.8966727496111367;0.24352382599582878;0.9738723911955897;2.158230561758562;0.0;1.0547639312383692;0.0;0.9884033367795547;3.226043259349354;2.2946612712447556;24.07202765878365;0.14267783269837844;1.0413897804206378;0.0;0.0;0.0;3.5218272758025084;0.0;0.18155220257996613;0.5014309653687061;1.198959094755307;0.047551945784484184;0.2687405276967198;942.3302685043025;4.674400841859172;0.560610340208188;0.3983429871014327;942.3302685043025;0.0;4.318116008932041;0.4369805124034644;1.0862193761511683;4.318116008932041;1.0777908586700173;0.21926388213682724;8109.163629776878;4.934280348495094;5.009192651850388;0.0;0.0;0.6784714343391376;0.43630576970584367;;5.009192651850388;0.0;4.934280348495094;0.0;0.3172618916591185;0.0;33.84509200188111;0.06116123414752143;30.013974062064626;0.0;0.5662978955096204;0.7690246310259022;0.14646026280661134;0.06032314603073317
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2682.0;0.0;0.0;0.0;2682.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;3.0;0.0;0.0;1.93;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;1.0;4.0;2.0;1.0;152.0;1.0;0.0;0.25;5.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.65;0.0;1.0;1.0;0.0;2.0;0.0;0.0;4.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;2682.0;2.0;0.0;0.583333333;2682.0;0.0;3.0;1.0;2.0;3.0;2.0;0.0;152.0;3.0;4.0;0.0;0.0;0.0;0.0;;4.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
