;IOVars_75%;blamemerge_blamegetDifficulty_count;IOVars_std;NCOMP_std;IOVars_50%;NCOMP_50%;blamemerge_blamegetDifficulty_mean;VG_max;NCOMP_25%;Fout_75%;NVAR_25%;blame_merge_blame_getDifficulty_count;blame_merge_blame_getDistinctOperandsCnt_min;blame_merge_blame_getDifficulty_mean;IOVars_25%;NumberOfDistinctOperators;Fout_min;NBD_mean;blame_merge_blame_getDistinctOperatorsCnt_count;NOP_min;MCLC_max;blame_merge_blame_getDistinctOperandsCnt_mean;MCLC_count;IOVars_mean;NVAR_mean;IOVars_max;Fout_count;MCLC_25%;Ci_50%;VG_25%;Ci_min;blame_merge_blame_getDistinctOperatorsCnt_mean;NBD_max;NCOMP_75%;Ci_mean;NVAR_50%;NOP_75%;ClTCi;NBD_count;Fin_std;Si_std;NOP_25%;VG_std;Ci_25%;Si_25%;NOP_50%;MCLC_std;Di_min;blamemerge_blamegetDifficulty_std;blamemerge_blamegetDistinctOperandsCnt_count;NBD_min;Fout_std;blamemerge_blamegetDistinctOperatorsCnt_std;Si_50%;blame_merge_blame_getDistinctOperatorsCnt_std;NVAR_max;NCOMP_max;IOVars_min;ClRCi;Di_50%;NumberOfDistinctOperands;MCLC_min;NVAR_75%;Di_mean;blame_merge_blame_getDifficulty_max;IOVars_count;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperandsCnt_count;blame_merge_blame_getDistinctOperandsCnt_std;Di_75%;blame_merge_blame_getDistinctOperatorsCnt_min;NCOMP_min;Ci_max;Fin_min;Ci_count;blamemerge_blamegetDistinctOperatorsCnt_max;Di_25%;VG_75%;MCLC_50%;Fout_50%;NCOMP_count;blame_merge_blame_getDifficulty_std;blame_merge_blame_getDistinctOperandsCnt_max;Fin_max;Fin_50%;Si_75%;NVAR_std;VG_count;NOP_std;Ci_75%;Fout_mean;Fin_25%;Di_max;Bugged;NVAR_count;blamemerge_blamegetDistinctOperatorsCnt_mean;NBD_25%;NOP_mean;blamemerge_blamegetDistinctOperandsCnt_max;VG_mean;blame_merge_blame_getDifficulty_min;Fout_25%;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDistinctOperatorsCnt_max;Fin_75%;Fin_count;Si_count;Si_min;NOP_count;Ci_std;blamemerge_blamegetDistinctOperandsCnt_mean;Si_max;NBD_50%;NVAR_min;VG_min;Si_mean;blamemerge_blamegetDistinctOperandsCnt_std;NCOMP_mean;Difficulty;NOPa;MCLC_mean;NBD_75%;Fout_max;Fin_mean;NBD_std;Di_std;VG_50%;Di_count;MCLC_75%;NOP_max
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.6920618007458711;2187.898241875333;0.15918888686117647;0.2766057706951839;0.6217368140649974;0.2464038359083644;0.796301671053313;0.9744272775705913;0.1915290356952584;0.06486414491209376;0.09376664890783165;0.0;0.0;0.0;0.5648641449120938;20.45764517847629;0.02397442727757059;0.6540575707360404;0.0;0.24720298348428343;1.1608950452850293;0.0;1.7410761854022376;0.6358969565573404;0.15737605887752262;0.8444326052210975;1.7410761854022376;0.29128929142248267;0.7494268739597761;0.5789824187533298;0.5726376713319126;0.0;0.8337773042088439;0.3861214704315397;0.8411079677580943;0.12706446457112414;0.4413958444326052;7.81878724431593;1.7410761854022376;0.0943942506500796;0.21572910730232164;0.30780500799147575;0.16336107301349537;0.6786579164031699;0.11814064997336175;0.3617474693660096;0.3745538644873842;0.4555187886148109;1.1010117007597893;2187.898241875333;0.5615343633457646;0.046212638684997094;1.9537983098478815;0.14038359083644114;0.0;0.3590836441129462;0.8396377197655833;0.4757591901971231;0.96406656629675;0.5999133584096964;79.94459243473628;0.2328183271177411;0.1822056473095365;0.613764560866946;0.0;1.7410761854022376;2187.898241875333;0.0;0.0;0.6690614859292754;0.0;0.15503462972828982;1.5390684873729357;0.0010655301012253596;1.7410761854022376;7.633990410229089;0.5414300791983218;0.6971230687266915;0.3827916888652104;0.041822056473095365;1.7410761854022376;0.0;0.0;0.34949387320191794;0.006659563132658497;0.2547948854555141;0.11957217471954212;1.7410761854022376;0.15291982784439853;0.9269706348814598;0.05748755111674286;0.003063399041022909;0.8257010703729355;;1.7410761854022376;1.5913957837665855;0.5883058071390517;0.3840726388124009;9.72775705913692;0.6678214668624683;0.0;0.03316462440063932;4.534184191667798;0.0;0.02397442727757059;1.7410761854022376;1.7410761854022376;0.09962706446457112;1.7410761854022376;0.3390450773712777;1.7029962841429962;0.7863612147043154;0.6291955247735749;0.0740543420351625;0.5588705380927012;0.22734340689114826;2.393381962093569;0.3364644854799828;32.381076982558284;0.0;0.4938405443575054;0.6901971230687267;0.14917421417155036;0.03498112590418458;0.1182703383600089;0.15895714266008543;0.6196057538625466;1.7410761854022376;0.5727224294086308;0.5855087906233352
std;0.9990698554835832;8085.062467289967;0.3841843742923495;0.9919084475801474;0.9158149510206044;0.9747035594103892;0.5146763254148556;1.9936964240849349;0.890049623585894;0.4923672693313633;0.4706877367408692;0.0;0.0;0.0;0.8688798423032087;10.701659865467915;0.3148096107651771;0.9338469690567652;0.0;0.6378676730043741;3.686069096183057;0.0;3.7066012560104658;0.9246429220422998;0.5389118163079737;1.2876679141388296;3.7066012560104658;1.2400832817987584;2.6584860073615393;0.9517905795184314;2.5493029772208757;0.0;1.309335538225197;1.2945877092918174;3.0945813955355264;0.5354914871738927;0.7689255868043563;36.937994523134485;3.7066012560104658;0.9645799293093764;2.6638931424231784;0.6661969031526759;0.5714235725912091;2.5807370346176732;2.4406729046600635;0.710068267649717;1.2725873331525064;0.8205134428958577;0.45602955296260356;8085.062467289967;0.8273518461392361;0.2648738669487274;0.7218252822027657;2.5151204708410293;0.0;1.147904743682693;2.8543845517594035;0.829283813583905;2.1616320629659453;0.9040650419019424;86.8179916037288;1.1505209701225165;0.6438513799610014;0.9112805934139095;0.0;3.7066012560104658;8085.062467289967;0.0;0.0;0.982655151989198;0.0;0.8451179636402957;9.513260963837341;0.03263375739058046;3.7066012560104658;2.8882483211305656;0.8567829582454006;1.1808291114705525;1.3678875305139597;0.3708221205352839;3.7066012560104658;0.0;0.0;4.199625073324079;0.08217056556211833;3.704383665348632;0.4235305479195638;3.7066012560104658;0.3616507886112295;3.808827975254559;0.4013590981300491;0.04497621650287749;1.2759313158285979;;3.7066012560104658;0.9949214471755203;0.8606385578903994;0.701624484425893;3.795680117864645;1.0694269430892382;0.0;0.3395155225443154;2.058866730175938;0.0;0.1677585691164495;3.7066012560104658;3.7066012560104658;2.4219555592085062;3.7066012560104658;2.655217342913874;1.044348216294252;9.484229161980414;0.9177008693052827;0.4121724948233031;0.9191010271180442;2.963438661635993;0.7475910856038999;1.0799437749496605;29.214409460100565;0.0;1.4853046245654773;1.0076928585416778;0.874365813438519;0.2653280141576925;0.3616222106615258;0.38358356961087103;1.020550696969115;3.7066012560104658;1.7740426392620596;1.0401138405139383
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;44.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7886956423909863;44.0;0.0;0.0;1.5128178628568811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.7419354838709677;0.0;0.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.9473848341577715;0.0;10.652173913043477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;109.0;0.0;0.0;0.0;0.0;0.7978142076502732;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2099281806461593;109.0;0.0;0.0;2.128345567259758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;0.0;0.0;0.0;0.0;109.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.6140350877192982;0.0;0.0;9.0;0.0;0.0;0.0;4.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5981308411214954;0.0;0.0;0.0;0.0;0.0;2.5074830875466683;0.0;23.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;400.0;0.0;0.0;1.0;0.0;1.1599706959706961;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;28.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;6.0;2.0;0.0;0.0;0.5;0.0;1.0;0.0;1.0;0.0;1.0;1.3944664438148204;400.0;1.0;0.0;2.470358535819201;0.0;0.0;0.0;0.0;1.0;1.6;1.0;103.0;0.0;0.0;1.0;0.0;2.0;400.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;10.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;;2.0;2.31981351981352;1.0;0.8571428571428571;11.0;1.0;0.0;0.0;5.7142857142857135;0.0;0.0;2.0;2.0;0.0;2.0;0.0;2.2481203007518795;0.0;1.0;0.0;1.0;0.0;2.820380374088831;0.0;44.79856115107913;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0
