;NumberOfAncestors;NumberPublicMethods;NumberUserDefinedAttributes;Bugged;NumberOfInheritedMethods;NumberOfPolymorphicMethods;Cohesion;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfCoupledClasses;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberOfSubclasses;NumberOfAttributes
count;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;2;;;;;;;;;;
top;;;;False;;;;;;;;;;
freq;;;;1842;;;;;;;;;;
mean;0.0;2.3489611081513053;0.07884922749067662;;0.0;1.1443793287160362;0.23504462074738935;3.0825785828449654;0.011720831113478956;0.11028236547682473;2.8311134789557806;0.1976558337773042;0.0;3.0404901438465637
std;0.0;3.866952436774132;0.4093329603856641;;0.0;3.0882431645257222;0.3430028880848454;4.880239534107522;0.20356908912891425;0.44300506955994173;5.02708352316159;1.0803709200933136;0.0;5.139779783238317
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
75%;0.0;3.0;0.0;;0.0;1.0;0.3333333333333333;4.0;0.0;0.0;4.0;0.0;0.0;4.0
max;0.0;46.0;5.0;;0.0;46.0;1.0;46.0;5.0;4.0;33.0;27.0;0.0;33.0
