;ExecutableStatementCount;NCSSForThisMethod;NumberOfMethods_Checkstyle;CyclomaticComplexity;NestedIfElseDepth;NumberOfProtectedMethod;MethodLength;ThrowsCount;ClassDataAbstractionCoupling;NPathComplexity;BooleanExpressionComplexity;NumberOfPrivateMethod;ClassFanOutComplexity;FileLength;NumberOfPublicMethods_Checkstyle;NumberOfPackageMethod;AnonymousInnerClassLength;NestedForDepth;NestedTryDepth;BuggedMethods;NCSSForThisClass;NCSSForThisFile
count;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463;5463.0;5463.0
unique;;;;;;;;;;;;;;;;;;;;2;;
top;;;;;;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;;;;;;;;;;;;5391;;
mean;1.6542192934285191;2.3825736774665933;0.48325096101043385;0.7845506132161816;0.018304960644334616;0.005308438586857038;3.6252974556104705;0.11733479773018488;0.14827018121911037;7.182500457624016;0.018304960644334616;0.046860699249496617;0.7446457990115322;10.416803953871499;0.4173531026908292;0.014827018121911038;0.08127402526084569;0.0029287937030935385;0.001281347245103423;;3.5118066996155957;4.2286289584477394
std;3.331875618668891;4.148171545647009;2.2024177596648715;1.2989176740985477;0.14708786978613034;0.11548542358812819;6.393452342974681;0.444624592154488;0.9309658380701744;236.08395080661268;0.20438685038236012;0.4964177166771964;2.679539249813129;45.71475955924219;1.965858112626467;0.23349940489368662;1.2023346577459915;0.05404396832922375;0.03577624472742812;;16.95512303355823;21.273744751472538
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;1.0;2.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
75%;2.0;3.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
max;60.0;75.0;59.0;30.0;2.0;3.0;94.0;5.0;22.0;10000.0;7.0;12.0;45.0;1356.0;59.0;7.0;46.0;1.0;1.0;;406.0;616.0
