;Di;VG;Fin;Si;NOP;IOVars;NVAR;BuggedMethods;NCOMP;MCLC;Fout;NBD;Ci
count;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463.0;5463;5463.0;5463.0;5463.0;5463.0;5463.0
unique;;;;;;;;2;;;;;
top;;;;;;;;False;;;;;
freq;;;;;;;;5391;;;;;
mean;0.3746543981147721;0.4834340106168772;0.13856855207761304;0.26761852462017205;0.16254805052169138;0.3986820428336079;0.09683324180853012;;0.29086582463847704;0.38769906644700713;0.08127402526084569;0.43602416254805054;0.6422729227349441
std;0.6621316328288601;1.0003890471663386;2.4735178721556745;2.9399812718139655;0.4209058362867807;0.6808128489130025;0.5087616111533889;;1.4489237792321703;1.78539445321813;0.5109411360645365;0.7378194893266228;2.998698819521541
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
75%;1.0;1.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;1.0
max;7.0;16.0;92.0;100.0;6.0;7.0;8.0;;51.0;59.0;10.0;7.0;100.090909091
