;NumberOfAnonymousClasses;IOVars;Returns;Fin;NCOMP;Si;AnonymousInnerClassLength;RFC;VG;NOP;NumberOfNumbers;WMC_CK;NumberOfLoops;FileLength;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfParameters_CK;LOCMethod_CK;Maximum Depth;IsConstructor;NumberOfTryCatch;NBD;NumberOfComparisons;MCLC;NumberOfInnerClasses;NVAR;CBO;Di;NumberOfUniqueWords;BuggedMethods;NumberOfAssignments;MethodLength;NumberOfParenthesizedExps;NumberOfVariables;NumberOfModifiers;NumberOfLogStatements;Ci;NumberOfLambdas;Fout;NumberOfMathOperations
count;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0
unique;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;False;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;6505;;;;;;;;;;6609;;;;;;;;;;
mean;0.0008921933085501858;0.5837918215613382;0.4612639405204461;0.07494423791821561;0.5217843866171004;0.1544981412639405;0.12728624535315985;1.2593308550185873;0.9142007434944238;0.2307806691449814;0.3426022304832714;1.0333085501858736;0.09011152416356877;10.851152416356877;0.6115985130111524;0.22825278810408922;0.260817843866171;3.967732342007435;0.6777695167286245;;0.0025278810408921933;0.681635687732342;0.17933085501858737;0.8084758364312268;0.00014869888475836432;0.2866914498141264;0.9086988847583644;0.5633315631082527;4.94453531598513;;0.9669888475836431;4.663791821561338;0.05382899628252788;0.6144237918215614;1.00817843866171;0.002379182156133829;0.7178297043721933;0.0;0.04743494423791821;0.13353159851301116
std;0.029858497436201222;0.811139109554647;1.1941982030141933;0.5497590332675879;4.335774200990533;4.5931187122631085;1.4735948233646217;3.677910632329216;2.762874622419239;0.5434467632769644;2.020737391287123;2.837470734170696;0.5356688981126742;58.20807208195469;3.821015950828781;0.6999863993601211;0.6063962926099294;11.234123557784685;1.0948969391542127;;0.05021818253357775;1.4071174356136071;1.0029497681762376;5.048446390461641;0.012194215216993846;1.1685229981212886;2.12936541543791;0.7978732264813493;8.303976453270787;;4.5240889966793985;13.007713090227602;0.4038250160244917;3.0664658006041794;2.5777196580727613;0.06213762656365773;4.651750783419961;0.0;0.390218797360938;1.3053958754007473
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;7.0;;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
max;1.0;10.0;53.0;16.0;241.0;361.0;52.0;111.0;95.0;9.0;56.0;101.0;15.0;1377.0;150.0;7.0;8.0;386.0;9.0;;1.0;48.0;34.0;252.0;1.0;34.0;57.0;10.0;101.0;;152.0;367.0;11.0;122.0;41.0;3.0;361.05;0.0;19.0;71.0
