;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;6609;;;;;;;;;;;;;;;;;;;;;;6505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;5.556728624535316;0.0695910780669145;0.06052044609665427;1.0715241635687733;3.3030483271375464;20.12014869888476;0.06527881040892193;4.358066914498141;0.052342007434944236;0.001486988847583643;0.05680297397769517;2.35092936802974;4.663791821561338;10.851152416356877;0.12728624535315985;0.4550185873605948;0.35226765799256504;0.6645353159851302;0.0005947955390334573;0.13858736059479554;0.013680297397769516;;0.9086988847583644;1.0333085501858736;1.2593308550185873;3.967732342007435;0.4612639405204461;0.6144237918215614;0.260817843866171;0.09011152416356877;0.17933085501858737;0.0025278810408921933;0.05382899628252788;0.6115985130111524;0.3426022304832714;0.9669888475836431;0.13353159851301116;0.22825278810408922;0.0008921933085501858;0.00014869888475836432;0.0;4.94453531598513;1.00817843866171;0.002379182156133829;0.7178297043721933;0.5633315631082527;0.07494423791821561;0.04743494423791821;0.5837918215613382;0.8084758364312268;0.681635687732342;0.5217843866171004;0.2307806691449814;0.2866914498141264;0.1544981412639405;0.9142007434944238;0.4747955390334572;1.3009665427509294;0.6777695167286245;0.8362825278810408
std;;34.77859265188269;0.3338505401293497;0.3076382802692327;2.942958526644301;10.172591421405029;405.89904781806166;0.47955564559957503;29.753173024190538;0.48774018067651165;0.06677887777941698;0.7515897551290528;7.872646024498047;13.007713090227602;58.20807208195469;1.4735948233646217;2.4506322292064127;2.017048025258946;3.2645863511553315;0.024382989219380733;1.1873087422251696;0.12948751122049154;;2.12936541543791;2.837470734170696;3.677910632329216;11.234123557784685;1.1941982030141933;3.0664658006041794;0.6063962926099294;0.5356688981126742;1.0029497681762376;0.05021818253357775;0.4038250160244917;3.821015950828781;2.020737391287123;4.5240889966793985;1.3053958754007473;0.6999863993601211;0.029858497436201222;0.012194215216993846;0.0;8.303976453270787;2.5777196580727613;0.06213762656365773;4.651750783419961;0.7978732264813493;0.5497590332675879;0.390218797360938;0.811139109554647;5.048446390461641;1.4071174356136071;4.335774200990533;0.5434467632769644;1.1685229981212886;4.5931187122631085;2.762874622419239;1.9554442770436011;6.43159266846437;1.0948969391542127;4.812466878571361
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0
