;ClTCi;RTLOC;NOD;Bugged;NOL;NSM;NSF;NPF;NOA;TLOC;ClRCi;PMd
count;1280.0;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;;2;;;;;;;;
top;;;;False;;;;;;;;
freq;;;;1241;;;;;;;;
mean;13.145655620419529;91.00625;0.0;;0.003125;0.39921875;0.525;0.3421875;0.0;65.4140625;1.6489320199101563;4.1453125
std;30.648584625545375;178.58905341593587;0.0;;0.055836099924065775;2.6109469460788493;2.99402584725687;2.7734531044804327;0.0;129.66256967862614;1.6940257631151807;6.416174578946672
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;5.0;0.0;;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
50%;6.0;33.0;0.0;;0.0;0.0;0.0;0.0;0.0;22.0;1.666666667;2.0
75%;13.0;83.25;0.0;;0.0;0.0;0.0;0.0;0.0;61.0;2.25;6.0
max;535.883333333;1974.0;0.0;;1.0;47.0;75.0;75.0;0.0;1408.0;33.512820513;78.0
