;CyclomaticComplexity;NestedTryDepth;AnonymousInnerClassLength;NumberOfPublicMethods_Checkstyle;FileLength;NCSSForThisFile;ClassDataAbstractionCoupling;NCSSForThisClass;ThrowsCount;NumberOfProtectedMethod;NCSSForThisMethod;NestedForDepth;NumberOfPrivateMethod;BuggedMethods;MethodLength;ExecutableStatementCount;NumberOfPackageMethod;ClassFanOutComplexity;NestedIfElseDepth;NumberOfMethods_Checkstyle;BooleanExpressionComplexity;NPathComplexity
count;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0
unique;;;;;;;;;;;;;;2;;;;;;;;
top;;;;;;;;;;;;;;False;;;;;;;;
freq;;;;;;;;;;;;;;6609;;;;;;;;
mean;1.0715241635687733;0.0005947955390334573;0.12728624535315985;0.35226765799256504;10.851152416356877;5.556728624535316;0.13858736059479554;4.358066914498141;0.06527881040892193;0.052342007434944236;3.3030483271375464;0.013680297397769516;0.05680297397769517;;4.663791821561338;2.35092936802974;0.001486988847583643;0.6645353159851302;0.0695910780669145;0.4550185873605948;0.06052044609665427;20.12014869888476
std;2.942958526644301;0.024382989219380733;1.4735948233646217;2.017048025258946;58.20807208195469;34.77859265188269;1.1873087422251696;29.753173024190538;0.47955564559957503;0.48774018067651165;10.172591421405029;0.12948751122049154;0.7515897551290528;;13.007713090227602;7.872646024498047;0.06677887777941698;3.2645863511553315;0.3338505401293497;2.4506322292064127;0.3076382802692327;405.89904781806166
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
max;101.0;1.0;52.0;77.0;1377.0;929.0;44.0;866.0;8.0;15.0;347.0;3.0;27.0;;367.0;226.0;5.0;73.0;5.0;87.0;6.0;10000.0
