;NumberOfAnonymousClasses;Returns;RFC;NumberOfNumbers;WMC_CK;NumberOfLoops;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfParameters_CK;LOCMethod_CK;IsConstructor;NumberOfTryCatch;NumberOfComparisons;NumberOfInnerClasses;CBO;NumberOfUniqueWords;NumberOfAssignments;BuggedMethods;NumberOfParenthesizedExps;NumberOfVariables;NumberOfModifiers;NumberOfLogStatements;NumberOfLambdas;NumberOfMathOperations
count;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0
unique;;;;;;;;;;;2;;;;;;;2;;;;;;
top;;;;;;;;;;;False;;;;;;;False;;;;;;
freq;;;;;;;;;;;6505;;;;;;;6609;;;;;;
mean;0.0008921933085501858;0.4612639405204461;1.2593308550185873;0.3426022304832714;1.0333085501858736;0.09011152416356877;0.6115985130111524;0.22825278810408922;0.260817843866171;3.967732342007435;;0.0025278810408921933;0.17933085501858737;0.00014869888475836432;0.9086988847583644;4.94453531598513;0.9669888475836431;;0.05382899628252788;0.6144237918215614;1.00817843866171;0.002379182156133829;0.0;0.13353159851301116
std;0.029858497436201222;1.1941982030141933;3.677910632329216;2.020737391287123;2.837470734170696;0.5356688981126742;3.821015950828781;0.6999863993601211;0.6063962926099294;11.234123557784685;;0.05021818253357775;1.0029497681762376;0.012194215216993846;2.12936541543791;8.303976453270787;4.5240889966793985;;0.4038250160244917;3.0664658006041794;2.5777196580727613;0.06213762656365773;0.0;1.3053958754007473
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;2.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0
75%;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;1.0;7.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0
max;1.0;53.0;111.0;56.0;101.0;15.0;150.0;7.0;8.0;386.0;;1.0;34.0;1.0;57.0;101.0;152.0;;11.0;122.0;41.0;3.0;0.0;71.0
