;IOVars;Si;Fin;NCOMP;MCLC;Ci;VG;NOP;NBD;NVAR;Di;Fout;BuggedMethods
count;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725
unique;;;;;;;;;;;;;2
top;;;;;;;;;;;;;False
freq;;;;;;;;;;;;;6609
mean;0.5837918215613382;0.1544981412639405;0.07494423791821561;0.5217843866171004;0.8084758364312268;0.7178297043721933;0.9142007434944238;0.2307806691449814;0.681635687732342;0.2866914498141264;0.5633315631082527;0.04743494423791821;
std;0.811139109554647;4.5931187122631085;0.5497590332675879;4.335774200990533;5.048446390461641;4.651750783419961;2.762874622419239;0.5434467632769644;1.4071174356136071;1.1685229981212886;0.7978732264813493;0.390218797360938;
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
75%;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;
max;10.0;361.0;16.0;241.0;252.0;361.05;95.0;9.0;48.0;34.0;10.0;19.0;
